rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed,cluster
0,0.0049512721631917,4.405605061204015e-05,1.9308415501783823e-05,2.4875621890547263e-05,0.0,0.0,,,,1.0,0,20,200,200,12345,0
1,0.6495761452071862,0.0644938714097532,0.0282656853984503,0.0052487562189054,0.0059252479249391,0.0025968544001658,0.0035311709226088,0.0029205776132059,0.0019081107072945,0.55,0,20,200,200,12345,1
2,0.5340293046023952,0.0397988463924945,0.0174426134880992,0.0042537313432835,0.004043421397449,0.0017721075608491,0.001260267601018,0.0017485503339591,0.0010333272140176,0.4499999999999999,1,20,200,200,12345,1
3,0.8719689215352238,0.04964867054719,0.0217594892578576,0.0056218905472636,0.0038600479151101,0.0016917405887801,0.0018661654861229,0.0017982820587746,0.0009775572626532,0.35,1,20,200,200,12345,1
4,0.5430883780775264,0.0589935842951142,0.0258550782851669,0.004502487562189,0.0027487873206621,0.0012047091597192,0.0002665950694461,0.0009612221926739,0.0005225263361144,0.35,0,20,200,200,12345,1
5,0.8675457927675065,0.0523516487017072,0.0229441216653163,0.006865671641791,0.003506352904122,0.0015367269155572,0.0024446567925753,0.0021354720651622,0.0011608558381073,0.35,0,20,200,200,12345,1
6,0.8003324606279654,0.0432089903798938,0.0189371749868011,0.0155733830845771,0.0168148057128022,0.0073694135260464,0.004585342517438,0.0026926046978599,0.0012799830242076,0.15,1,20,200,200,12345,1
7,0.9378517680377004,0.0532029691339283,0.0233172292953042,0.0079776119402985,0.0063382736198241,0.0027778708920884,0.0040791068463632,0.0033048018651664,0.0016193529139315,0.1999999999999999,0,20,200,200,12345,1
8,0.0075962212344358,0.0001561531754167,6.843714656630209e-05,4.35323383084577e-05,1.5887223225335947e-05,6.962882576690669e-06,,,,1.0,0,20,200,200,12345,0
9,0.9736751812247616,0.0033232408405655,0.0014564745153211,0.0282338308457711,0.0357191865818046,0.015654623742391,0.0101420044152902,0.0064209916842066,0.0033635211351876,0.3,0,20,200,200,12345,1
10,0.8179365175937804,0.0360943441089399,0.0158190437780483,0.004502487562189,0.0027487873206621,0.0012047091597192,0.0009902102579427,0.0016247620517556,0.0008511024105782,0.3,1,20,200,200,12345,1
11,0.9888818384083744,0.0096094924104778,0.0042115457387829,0.0113345771144278,0.015265435729984,0.006690372191686,0.0048191899094607,0.003258098783933,0.0017711226740734,0.35,0,20,200,200,12345,1
12,0.8063740608483163,0.0213779820046838,0.009369313712911,0.005,0.0036093345776617,0.0015818606239616,0.0009902102579427,0.0016247620517556,0.0008511024105782,0.3,0,20,200,200,12345,1
13,0.9869874553033744,0.0036426020629086,0.0015964407422183,0.008455223880597,0.008913331577162,0.0039064398012558,0.0060866094103295,0.0024708004907504,0.0015314180101481,0.5,0,20,200,200,12345,1
14,0.9947470100552817,0.0088603243751387,0.0038832083706796,0.0320771144278606,0.0662250085175409,0.0290243896877219,0.0123101360125274,0.0050051992649339,0.0031022546447576,0.5,0,20,200,200,12345,1
15,0.99770191175824,0.0036836849869356,0.0016144461275427,0.005,8.898943666030574e-19,3.900134021176368e-19,0.0,0.0,0.0,0.0,1,20,200,200,12345,1
16,0.5495807382930014,0.0464649163343889,0.0203641474525366,0.0040049751243781,0.0034619521091465,0.0015172674091764,0.000630133800509,0.0014019592014008,0.0008285049435608,0.4499999999999999,1,20,200,200,12345,1
